Infinitive,вы́сосать
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́сосавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сосанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́сосав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́сосавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́сосу
2nd Sing,вы́сосешь
3rd Sing,вы́сосет
1st Pl,вы́сосем
2nd Pl,вы́сосете
3rd Pl,вы́сосут
Past M,вы́сосал
Past F,вы́сосала
Past N,вы́сосало
Past PL,вы́сосали
Imp S,вы́соси
Imp PL,вы́сосите
