Infinitive,вы́пороть
Zaliznyak Class,10a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́поровший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́поротый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́поров
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́поровши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́порю
2nd Sing,вы́порешь
3rd Sing,вы́порет
1st Pl,вы́порем
2nd Pl,вы́порете
3rd Pl,вы́порют
Past M,вы́порол
Past F,вы́порола
Past N,вы́пороло
Past PL,вы́пороли
Imp S,вы́пори
Imp PL,вы́порите
