Infinitive,вы́брить
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́бривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́бритый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́брив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́бривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́брею
2nd Sing,вы́бреешь
3rd Sing,вы́бреет
1st Pl,вы́бреем
2nd Pl,вы́бреете
3rd Pl,вы́бреют
Past M,вы́брил
Past F,вы́брила
Past N,вы́брило
Past PL,вы́брили
Imp S,вы́брей
Imp PL,вы́брейте
