Infinitive,вырожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вырожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вырожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вырожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вырожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вырожда́юсь
2nd Sing,вырожда́ешься
3rd Sing,вырожда́ется
1st Pl,вырожда́емся
2nd Pl,вырожда́етесь
3rd Pl,вырожда́ются
Past M,вырожда́лся
Past F,вырожда́лась
Past N,вырожда́лось
Past PL,вырожда́лись
Imp S,вырожда́йся
Imp PL,вырожда́йтесь
