Infinitive,выта́лкивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выта́лкивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выта́лкивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выта́лкиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выта́лкивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выта́лкивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выта́лкивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выта́лкиваю
2nd Sing,выта́лкиваешь
3rd Sing,выта́лкивает
1st Pl,выта́лкиваем
2nd Pl,выта́лкиваете
3rd Pl,выта́лкивают
Past M,выта́лкивал
Past F,выта́лкивала
Past N,выта́лкивало
Past PL,выта́лкивали
Imp S,выта́лкивай
Imp PL,выта́лкивайте
