Infinitive,вы́шибить
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́шибивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́шибленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́шибив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́шибивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́шибу
2nd Sing,вы́шибешь
3rd Sing,вы́шибет
1st Pl,вы́шибем
2nd Pl,вы́шибете
3rd Pl,вы́шибут
Past M,вы́шиб
Past F,вы́шибла
Past N,вы́шибло
Past PL,вы́шибли
Imp S,вы́шиби
Imp PL,вы́шибите
