Infinitive,вы́биться
Zaliznyak Class,11a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́бившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́бившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́бьюсь
2nd Sing,вы́бьешься
3rd Sing,вы́бьется
1st Pl,вы́бьемся
2nd Pl,вы́бьетесь
3rd Pl,вы́бьются
Past M,вы́бился
Past F,вы́билась
Past N,вы́билось
Past PL,вы́бились
Imp S,вы́бейся
Imp PL,вы́бейтесь
