Infinitive,выпла́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выпла́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпла́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпла́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпла́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выпла́чиваюсь
2nd Sing,выпла́чиваешься
3rd Sing,выпла́чивается
1st Pl,выпла́чиваемся
2nd Pl,выпла́чиваетесь
3rd Pl,выпла́чиваются
Past M,выпла́чивался
Past F,выпла́чивалась
Past N,выпла́чивалось
Past PL,выпла́чивались
Imp S,выпла́чивайся
Imp PL,выпла́чивайтесь
