Infinitive,вы́писаться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́писавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́писавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́пишусь
2nd Sing,вы́пишешься
3rd Sing,вы́пишется
1st Pl,вы́пишемся
2nd Pl,вы́пишетесь
3rd Pl,вы́пишутся
Past M,вы́писался
Past F,вы́писалась
Past N,вы́писалось
Past PL,вы́писались
Imp S,вы́пишись
Imp PL,вы́пишитесь
