Infinitive,вы́растить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́растивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ращенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́растив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́растивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ращу
2nd Sing,вы́растишь
3rd Sing,вы́растит
1st Pl,вы́растим
2nd Pl,вы́растите
3rd Pl,вы́растят
Past M,вы́растил
Past F,вы́растила
Past N,вы́растило
Past PL,вы́растили
Imp S,вы́расти
Imp PL,вы́растите
