Infinitive,выны́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выны́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выны́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выны́ривая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выны́ривав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выны́ривавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выны́риваю
2nd Sing,выны́риваешь
3rd Sing,выны́ривает
1st Pl,выны́риваем
2nd Pl,выны́риваете
3rd Pl,выны́ривают
Past M,выны́ривал
Past F,выны́ривала
Past N,выны́ривало
Past PL,выны́ривали
Imp S,выны́ривай
Imp PL,выны́ривайте
