Infinitive,вы́рыть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́рывший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́рытый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́рыв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́рывши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́рою
2nd Sing,вы́роешь
3rd Sing,вы́роет
1st Pl,вы́роем
2nd Pl,вы́роете
3rd Pl,вы́роют
Past M,вы́рыл
Past F,вы́рыла
Past N,вы́рыло
Past PL,вы́рыли
Imp S,вы́рой
Imp PL,вы́ройте
