Infinitive,выслу́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выслу́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выслу́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выслу́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выслу́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выслу́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выслу́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выслу́шиваю
2nd Sing,выслу́шиваешь
3rd Sing,выслу́шивает
1st Pl,выслу́шиваем
2nd Pl,выслу́шиваете
3rd Pl,выслу́шивают
Past M,выслу́шивал
Past F,выслу́шивала
Past N,выслу́шивало
Past PL,выслу́шивали
Imp S,выслу́шивай
Imp PL,выслу́шивайте
