Infinitive,выступа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выступа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выступа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выступа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выступа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выступа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выступа́ю
2nd Sing,выступа́ешь
3rd Sing,выступа́ет
1st Pl,выступа́ем
2nd Pl,выступа́ете
3rd Pl,выступа́ют
Past M,выступа́л
Past F,выступа́ла
Past N,выступа́ло
Past PL,выступа́ли
Imp S,выступа́й
Imp PL,выступа́йте
