Infinitive,вылета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вылета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вылета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вылета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вылета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вылета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вылета́ю
2nd Sing,вылета́ешь
3rd Sing,вылета́ет
1st Pl,вылета́ем
2nd Pl,вылета́ете
3rd Pl,вылета́ют
Past M,вылета́л
Past F,вылета́ла
Past N,вылета́ло
Past PL,вылета́ли
Imp S,вылета́й
Imp PL,вылета́йте
