Infinitive,вы́звать
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́звавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́званный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́звав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́звавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́зову
2nd Sing,вы́зовешь
3rd Sing,вы́зовет
1st Pl,вы́зовем
2nd Pl,вы́зовете
3rd Pl,вы́зовут
Past M,вы́звал
Past F,вы́звала
Past N,вы́звало
Past PL,вы́звали
Imp S,вы́зови
Imp PL,вы́зовите
