Infinitive,выгу́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выгу́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выгу́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выгу́ливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выгу́ливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выгу́ливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выгу́ливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выгу́ливаю
2nd Sing,выгу́ливаешь
3rd Sing,выгу́ливает
1st Pl,выгу́ливаем
2nd Pl,выгу́ливаете
3rd Pl,выгу́ливают
Past M,выгу́ливал
Past F,выгу́ливала
Past N,выгу́ливало
Past PL,выгу́ливали
Imp S,выгу́ливай
Imp PL,выгу́ливайте
