Infinitive,вы́давить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́давивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́давленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́давив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́давивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́давлю
2nd Sing,вы́давишь
3rd Sing,вы́давит
1st Pl,вы́давим
2nd Pl,вы́давите
3rd Pl,вы́давят
Past M,вы́давил
Past F,вы́давила
Past N,вы́давило
Past PL,вы́давили
Imp S,вы́дави
Imp PL,вы́давите
