Infinitive,выполня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выполня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выполня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выполня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выполня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выполня́юсь
2nd Sing,выполня́ешься
3rd Sing,выполня́ется
1st Pl,выполня́емся
2nd Pl,выполня́етесь
3rd Pl,выполня́ются
Past M,выполня́лся
Past F,выполня́лась
Past N,выполня́лось
Past PL,выполня́лись
Imp S,выполня́йся
Imp PL,выполня́йтесь
