Infinitive,вы́править
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́правивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́правленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́правив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́правивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́правлю
2nd Sing,вы́правишь
3rd Sing,вы́правит
1st Pl,вы́правим
2nd Pl,вы́правите
3rd Pl,вы́правят
Past M,вы́правил
Past F,вы́правила
Past N,вы́правило
Past PL,вы́правили
Imp S,вы́прави
Imp PL,вы́правьте
