Infinitive,вы́сунуться
Zaliznyak Class,3a[③]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́сунувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сунувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́сунусь
2nd Sing,вы́сунешься
3rd Sing,вы́сунется
1st Pl,вы́сунемся
2nd Pl,вы́сунетесь
3rd Pl,вы́сунутся
Past M,вы́сунулся
Past F,вы́сунулась
Past N,вы́сунулось
Past PL,вы́сунулись
Imp S,вы́сунись
Imp PL,вы́суньтесь
