Infinitive,вы́делить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́деливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́деленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́делив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́деливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́делю
2nd Sing,вы́делишь
3rd Sing,вы́делит
1st Pl,вы́делим
2nd Pl,вы́делите
3rd Pl,вы́делят
Past M,вы́делил
Past F,вы́делила
Past N,вы́делило
Past PL,вы́делили
Imp S,вы́дели
Imp PL,вы́делите
