Infinitive,вы́течь
Zaliznyak Class,8a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́текший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́текши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́теку
2nd Sing,вы́течешь
3rd Sing,вы́течет
1st Pl,вы́течем
2nd Pl,вы́течете
3rd Pl,вы́текут
Past M,вы́тек
Past F,вы́текла
Past N,вы́текло
Past PL,вы́текли
Imp S,вы́теки
Imp PL,вы́теките
