Infinitive,вы́нырнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́нырнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́нырнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́нырнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́нырну
2nd Sing,вы́нырнешь
3rd Sing,вы́нырнет
1st Pl,вы́нырнем
2nd Pl,вы́нырнете
3rd Pl,вы́нырнут
Past M,вы́нырнул
Past F,вы́нырнула
Past N,вы́нырнуло
Past PL,вы́нырнули
Imp S,вы́нырни
Imp PL,вы́нырните
