Infinitive,выса́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выса́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выса́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выса́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выса́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выса́живаюсь
2nd Sing,выса́живаешься
3rd Sing,выса́живается
1st Pl,выса́живаемся
2nd Pl,выса́живаетесь
3rd Pl,выса́живаются
Past M,выса́живался
Past F,выса́живалась
Past N,выса́живалось
Past PL,выса́живались
Imp S,выса́живайся
Imp PL,выса́живайтесь
