Infinitive,вы́числить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́числивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́численный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́числив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́числивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́числю
2nd Sing,вы́числишь
3rd Sing,вы́числит
1st Pl,вы́числим
2nd Pl,вы́числите
3rd Pl,вы́числят
Past M,вы́числил
Past F,вы́числила
Past N,вы́числило
Past PL,вы́числили
Imp S,вы́числи
Imp PL,вы́числите
