Infinitive,вы́ключить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ключивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ключенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ключив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ключивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ключу
2nd Sing,вы́ключишь
3rd Sing,вы́ключит
1st Pl,вы́ключим
2nd Pl,вы́ключите
3rd Pl,вы́ключат
Past M,вы́ключил
Past F,вы́ключила
Past N,вы́ключило
Past PL,вы́ключили
Imp S,вы́ключи
Imp PL,вы́ключите
