Infinitive,вы́лупиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́лупившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́лупившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́луплюсь
2nd Sing,вы́лупишься
3rd Sing,вы́лупится
1st Pl,вы́лупимся
2nd Pl,вы́лупитесь
3rd Pl,вы́лупятся
Past M,вы́лупился
Past F,вы́лупилась
Past N,вы́лупилось
Past PL,вы́лупились
Imp S,вы́лупись
Imp PL,вы́лупитесь
