Infinitive,выстра́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выстра́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выстра́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выстра́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выстра́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выстра́иваюсь
2nd Sing,выстра́иваешься
3rd Sing,выстра́ивается
1st Pl,выстра́иваемся
2nd Pl,выстра́иваетесь
3rd Pl,выстра́иваются
Past M,выстра́ивался
Past F,выстра́ивалась
Past N,выстра́ивалось
Past PL,выстра́ивались
Imp S,выстра́ивайся
Imp PL,выстра́ивайтесь
