Infinitive,выводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вывожу́сь
2nd Sing,выво́дишься
3rd Sing,выво́дится
1st Pl,выво́димся
2nd Pl,выво́дитесь
3rd Pl,выво́дятся
Past M,выводи́лся
Past F,выводи́лась
Past N,выводи́лось
Past PL,выводи́лись
Imp S,выводи́сь
Imp PL,выводи́тесь
