Infinitive,выска́льзывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выска́льзывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выска́льзывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выска́льзывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выска́льзывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выска́льзывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выска́льзываю
2nd Sing,выска́льзываешь
3rd Sing,выска́льзывает
1st Pl,выска́льзываем
2nd Pl,выска́льзываете
3rd Pl,выска́льзывают
Past M,выска́льзывал
Past F,выска́льзывала
Past N,выска́льзывало
Past PL,выска́льзывали
Imp S,выска́льзывай
Imp PL,выска́льзывайте
