Infinitive,вы́ехать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́ехавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ехав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́ехавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́еду
2nd Sing,вы́едешь
3rd Sing,вы́едет
1st Pl,вы́едем
2nd Pl,вы́едете
3rd Pl,вы́едут
Past M,вы́ехал
Past F,вы́ехала
Past N,вы́ехало
Past PL,вы́ехали
Imp S,выезжа́й
Imp PL,выезжа́йте
