Infinitive,вы́родиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́родившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́родившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́рожусь
2nd Sing,вы́родишься
3rd Sing,вы́родится
1st Pl,вы́родимся
2nd Pl,вы́родитесь
3rd Pl,вы́родятся
Past M,вы́родился
Past F,вы́родилась
Past N,вы́родилось
Past PL,вы́родились
Imp S,вы́родись
Imp PL,вы́родитесь
