Infinitive,вы́искать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́искавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́исканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́искав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́искавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ищу
2nd Sing,вы́ищешь
3rd Sing,вы́ищет
1st Pl,вы́ищем
2nd Pl,вы́ищете
3rd Pl,вы́ищут
Past M,вы́искал
Past F,вы́искала
Past N,вы́искало
Past PL,вы́искали
Imp S,вы́ищи
Imp PL,вы́ищите
