Infinitive,вы́строиться
Zaliznyak Class,4a②
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́строившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́строившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́строюсь
2nd Sing,вы́строишься
3rd Sing,вы́строится
1st Pl,вы́строимся
2nd Pl,вы́строитесь
3rd Pl,вы́строятся
Past M,вы́строился
Past F,вы́строилась
Past N,вы́строилось
Past PL,вы́строились
Imp S,вы́стройся
Imp PL,вы́стройтесь
