Infinitive,вы́тянуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́тянувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́тянутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́тянув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́тянувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́тяну
2nd Sing,вы́тянешь
3rd Sing,вы́тянет
1st Pl,вы́тянем
2nd Pl,вы́тянете
3rd Pl,вы́тянут
Past M,вы́тянул
Past F,вы́тянула
Past N,вы́тянуло
Past PL,вы́тянули
Imp S,вы́тяни
Imp PL,вы́тяните
