Infinitive,вы́дать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́дав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́давши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́дам
2nd Sing,вы́дашь
3rd Sing,вы́даст
1st Pl,вы́дадим
2nd Pl,вы́дадите
3rd Pl,вы́дадут
Past M,вы́дал
Past F,вы́дала
Past N,вы́дало
Past PL,вы́дали
Imp S,вы́дай
Imp PL,вы́дайте
