Infinitive,вы́стрелить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́стреливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́стреленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́стрелив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́стреливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́стрелю
2nd Sing,вы́стрелишь
3rd Sing,вы́стрелит
1st Pl,вы́стрелим
2nd Pl,вы́стрелите
3rd Pl,вы́стрелят
Past M,вы́стрелил
Past F,вы́стрелила
Past N,вы́стрелило
Past PL,вы́стрелили
Imp S,вы́стрели
Imp PL,вы́стрелите
