Infinitive,вы́писать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́писавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́писанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́писав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́писавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́пишу
2nd Sing,вы́пишешь
3rd Sing,вы́пишет
1st Pl,вы́пишем
2nd Pl,вы́пишете
3rd Pl,вы́пишут
Past M,вы́писал
Past F,вы́писала
Past N,вы́писало
Past PL,вы́писали
Imp S,вы́пиши
Imp PL,вы́пишите
