Infinitive,вы́купить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́купивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́купленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́купив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́купивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́куплю
2nd Sing,вы́купишь
3rd Sing,вы́купит
1st Pl,вы́купим
2nd Pl,вы́купите
3rd Pl,вы́купят
Past M,вы́купил
Past F,вы́купила
Past N,вы́купило
Past PL,вы́купили
Imp S,вы́купи
Imp PL,вы́купите
