Infinitive,вы́плыть
Zaliznyak Class,16a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́плывший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́плыв
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́плывши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́плыву
2nd Sing,вы́плывешь
3rd Sing,вы́плывет
1st Pl,вы́плывем
2nd Pl,вы́плывете
3rd Pl,вы́плывут
Past M,вы́плыл
Past F,вы́плыла
Past N,вы́плыло
Past PL,вы́плыли
Imp S,вы́плыви
Imp PL,вы́плывите
