Infinitive,вы́мостить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́мостивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́мощенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́мостив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́мостивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́мощу
2nd Sing,вы́мостишь
3rd Sing,вы́мостит
1st Pl,вы́мостим
2nd Pl,вы́мостите
3rd Pl,вы́мостят
Past M,вы́мостил
Past F,вы́мостила
Past N,вы́мостило
Past PL,вы́мостили
Imp S,вы́мости
Imp PL,вы́мостите
