Infinitive,выста́ивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выста́ивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выста́ивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выста́иваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выста́ивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выста́ивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выста́ивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выста́иваю
2nd Sing,выста́иваешь
3rd Sing,выста́ивает
1st Pl,выста́иваем
2nd Pl,выста́иваете
3rd Pl,выста́ивают
Past M,выста́ивал
Past F,выста́ивала
Past N,выста́ивало
Past PL,выста́ивали
Imp S,выста́ивай
Imp PL,выста́ивайте
