Infinitive,выдвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выдвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выдвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выдвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выдвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выдвига́юсь
2nd Sing,выдвига́ешься
3rd Sing,выдвига́ется
1st Pl,выдвига́емся
2nd Pl,выдвига́етесь
3rd Pl,выдвига́ются
Past M,выдвига́лся
Past F,выдвига́лась
Past N,выдвига́лось
Past PL,выдвига́лись
Imp S,выдвига́йся
Imp PL,выдвига́йтесь
