Infinitive,вы́переть
Zaliznyak Class,9a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́перший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́пертый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́перев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́перши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́пру
2nd Sing,вы́прешь
3rd Sing,вы́прет
1st Pl,вы́прем
2nd Pl,вы́прете
3rd Pl,вы́прут
Past M,вы́пер
Past F,вы́перла
Past N,вы́перло
Past PL,вы́перли
Imp S,вы́при
Imp PL,вы́прите
