Infinitive,выпрова́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выпрова́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпрова́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпрова́живаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпрова́живая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выпрова́живав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выпрова́живавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выпрова́живаю
2nd Sing,выпрова́живаешь
3rd Sing,выпрова́живает
1st Pl,выпрова́живаем
2nd Pl,выпрова́живаете
3rd Pl,выпрова́живают
Past M,выпрова́живал
Past F,выпрова́живала
Past N,выпрова́живало
Past PL,выпрова́живали
Imp S,выпрова́живай
Imp PL,выпрова́живайте
