Infinitive,вы́вести
Zaliznyak Class,7a⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ведший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́веденный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ведя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ведши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́веду
2nd Sing,вы́ведешь
3rd Sing,вы́ведет
1st Pl,вы́ведем
2nd Pl,вы́ведете
3rd Pl,вы́ведут
Past M,вы́вел
Past F,вы́вела
Past N,вы́вело
Past PL,вы́вели
Imp S,вы́веди
Imp PL,вы́ведите
