Infinitive,вы́прыгнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́прыгнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́прыгнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́прыгнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́прыгну
2nd Sing,вы́прыгнешь
3rd Sing,вы́прыгнет
1st Pl,вы́прыгнем
2nd Pl,вы́прыгнете
3rd Pl,вы́прыгнут
Past M,вы́прыгнул
Past F,вы́прыгнула
Past N,вы́прыгнуло
Past PL,вы́прыгнули
Imp S,вы́прыгни
Imp PL,вы́прыгните
