Infinitive,выва́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выва́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выва́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выва́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выва́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выва́ливаюсь
2nd Sing,выва́ливаешься
3rd Sing,выва́ливается
1st Pl,выва́ливаемся
2nd Pl,выва́ливаетесь
3rd Pl,выва́ливаются
Past M,выва́ливался
Past F,выва́ливалась
Past N,выва́ливалось
Past PL,выва́ливались
Imp S,выва́ливайся
Imp PL,выва́ливайтесь
