Infinitive,вы́жать
Zaliznyak Class,14a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́жавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́жатый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́жав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́жавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́жму
2nd Sing,вы́жмешь
3rd Sing,вы́жмет
1st Pl,вы́жмем
2nd Pl,вы́жмете
3rd Pl,вы́жмут
Past M,вы́жал
Past F,вы́жала
Past N,вы́жало
Past PL,вы́жали
Imp S,вы́жми
Imp PL,вы́жмите
