Infinitive,вы́слать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́славший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́слав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́славши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́шлю
2nd Sing,вы́шлешь
3rd Sing,вы́шлет
1st Pl,вы́шлем
2nd Pl,вы́шлете
3rd Pl,вы́шлют
Past M,вы́слал
Past F,вы́слала
Past N,вы́слало
Past PL,вы́слали
Imp S,вы́шли
Imp PL,вы́шлите
