Infinitive,вы́сунуть
Zaliznyak Class,3a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́сунувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сунутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́сунув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́сунувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́суну
2nd Sing,вы́сунешь
3rd Sing,вы́сунет
1st Pl,вы́сунем
2nd Pl,вы́сунете
3rd Pl,вы́сунут
Past M,вы́сунул
Past F,вы́сунула
Past N,вы́сунуло
Past PL,вы́сунули
Imp S,вы́суни
Imp PL,вы́суньте
