Infinitive,вы́вихнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́вихнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́вихнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́вихнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́вихнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́вихну
2nd Sing,вы́вихнешь
3rd Sing,вы́вихнет
1st Pl,вы́вихнем
2nd Pl,вы́вихнете
3rd Pl,вы́вихнут
Past M,вы́вихнул
Past F,вы́вихнула
Past N,вы́вихнуло
Past PL,вы́вихнули
Imp S,вы́вихни
Imp PL,вы́вихните
