Infinitive,вы́катиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́катившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́катившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́качусь
2nd Sing,вы́катишься
3rd Sing,вы́катится
1st Pl,вы́катимся
2nd Pl,вы́катитесь
3rd Pl,вы́катятся
Past M,вы́катился
Past F,вы́катилась
Past N,вы́катилось
Past PL,вы́катились
Imp S,вы́катись
Imp PL,вы́катитесь
