Infinitive,вы́здороветь
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́здоровевший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́здоровев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́здоровевши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́здоровею
2nd Sing,вы́здоровеешь
3rd Sing,вы́здоровеет
1st Pl,вы́здоровеем
2nd Pl,вы́здоровеете
3rd Pl,вы́здоровеют
Past M,вы́здоровел
Past F,вы́здоровела
Past N,вы́здоровело
Past PL,вы́здоровели
Imp S,вы́здоровей
Imp PL,вы́здоровейте
