Infinitive,вы́ситься
Zaliznyak Class,4a②
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́сящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́сясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вы́сившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́шусь
2nd Sing,вы́сишься
3rd Sing,вы́сится
1st Pl,вы́симся
2nd Pl,вы́ситесь
3rd Pl,вы́сятся
Past M,вы́сился
Past F,вы́силась
Past N,вы́силось
Past PL,вы́сились
Imp S,вы́сься
Imp PL,вы́сьтесь
