Infinitive,вытя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вытя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вытя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вытя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вытя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вытя́гиваюсь
2nd Sing,вытя́гиваешься
3rd Sing,вытя́гивается
1st Pl,вытя́гиваемся
2nd Pl,вытя́гиваетесь
3rd Pl,вытя́гиваются
Past M,вытя́гивался
Past F,вытя́гивалась
Past N,вытя́гивалось
Past PL,вытя́гивались
Imp S,вытя́гивайся
Imp PL,вытя́гивайтесь
