Infinitive,вы́свободить
Zaliznyak Class,4a(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́свободивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́свобожденный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́свободив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́свободивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́свобожу
2nd Sing,вы́свободишь
3rd Sing,вы́свободит
1st Pl,вы́свободим
2nd Pl,вы́свободите
3rd Pl,вы́свободят
Past M,вы́свободил
Past F,вы́свободила
Past N,вы́свободило
Past PL,вы́свободили
Imp S,вы́свободи
Imp PL,вы́свободите
