Infinitive,вытя́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вытя́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вытя́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вытя́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вытя́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вытя́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вытя́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вытя́гиваю
2nd Sing,вытя́гиваешь
3rd Sing,вытя́гивает
1st Pl,вытя́гиваем
2nd Pl,вытя́гиваете
3rd Pl,вытя́гивают
Past M,вытя́гивал
Past F,вытя́гивала
Past N,вытя́гивало
Past PL,вытя́гивали
Imp S,вытя́гивай
Imp PL,вытя́гивайте
