Infinitive,вы́молить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́моливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́моленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́молив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́моливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́молю
2nd Sing,вы́молишь
3rd Sing,вы́молит
1st Pl,вы́молим
2nd Pl,вы́молите
3rd Pl,вы́молят
Past M,вы́молил
Past F,вы́молила
Past N,вы́молило
Past PL,вы́молили
Imp S,вы́моли
Imp PL,вы́молите
