Infinitive,вы́расти
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́росший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́росши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́расту
2nd Sing,вы́растешь
3rd Sing,вы́растет
1st Pl,вы́растем
2nd Pl,вы́растете
3rd Pl,вы́растут
Past M,вы́рос
Past F,вы́росла
Past N,вы́росло
Past PL,вы́росли
Imp S,вы́растиvýrasti
Imp PL,вы́растите
