Infinitive,вы́ломать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ломавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ломанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ломав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ломавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ломаю
2nd Sing,вы́ломаешь
3rd Sing,вы́ломает
1st Pl,вы́ломаем
2nd Pl,вы́ломаете
3rd Pl,вы́ломают
Past M,вы́ломал
Past F,вы́ломала
Past N,вы́ломало
Past PL,вы́ломали
Imp S,вы́ломай
Imp PL,вы́ломайте
