Infinitive,вы́чистить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́чистивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́чищенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́чистив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́чистивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́чищу
2nd Sing,вы́чистишь
3rd Sing,вы́чистит
1st Pl,вы́чистим
2nd Pl,вы́чистите
3rd Pl,вы́чистят
Past M,вы́чистил
Past F,вы́чистила
Past N,вы́чистило
Past PL,вы́чистили
Imp S,вы́чисти
Imp PL,вы́чистите
