Infinitive,вылеза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вылеза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вылеза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вылеза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вылеза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вылеза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вылеза́ю
2nd Sing,вылеза́ешь
3rd Sing,вылеза́ет
1st Pl,вылеза́ем
2nd Pl,вылеза́ете
3rd Pl,вылеза́ют
Past M,вылеза́л
Past F,вылеза́ла
Past N,вылеза́ло
Past PL,вылеза́ли
Imp S,вылеза́й
Imp PL,вылеза́йте
